location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T12:33:27Z,mc_pm2_5,9.172
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T12:26:47Z,mc_pm2_5,13.278
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T12:11:28Z,mc_pm2_5,6.021
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T12:03:27Z,mc_pm2_5,6.021
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T12:02:05Z,mc_pm2_5,6.427
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T11:56:43Z,mc_pm2_5,10.388
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T11:41:38Z,mc_pm2_5,8.975
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T11:31:27Z,mc_pm2_5,10.931
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T11:26:43Z,mc_pm2_5,6.955
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T11:01:36Z,mc_pm2_5,9.725
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T10:56:42Z,mc_pm2_5,7.545
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T10:36:40Z,mc_pm2_5,11.642
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T10:36:18Z,mc_pm2_5,7.668
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T10:31:36Z,mc_pm2_5,7.668
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T10:26:37Z,mc_pm2_5,11.642
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T09:56:49Z,mc_pm2_5,11.642
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T09:51:57Z,mc_pm2_5,8.706
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T09:26:42Z,mc_pm2_5,7.768
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T09:21:57Z,mc_pm2_5,8.932
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T08:51:56Z,mc_pm2_5,8.754
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T08:26:42Z,mc_pm2_5,9.006
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T08:21:57Z,mc_pm2_5,5.77
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T08:03:57Z,mc_pm2_5,6.92
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T07:56:49Z,mc_pm2_5,4.931
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:51:57Z,mc_pm2_5,6.92
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:50:56Z,mc_pm2_5,6.496
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:49:21Z,mc_pm2_5,6.975
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:47:22Z,mc_pm2_5,3.875
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T07:34:56Z,mc_pm2_5,6.306
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:34:43Z,mc_pm2_5,6.153
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T07:04:50Z,mc_pm2_5,2.697
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T06:34:44Z,mc_pm2_5,4.804
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T06:26:49Z,mc_pm2_5,2.653
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T06:04:44Z,mc_pm2_5,7.244
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T05:56:49Z,mc_pm2_5,7.97
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T05:34:51Z,mc_pm2_5,4.314
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T05:26:42Z,mc_pm2_5,4.333
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T05:04:44Z,mc_pm2_5,5.313
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T04:56:42Z,mc_pm2_5,6.663
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T04:50:34Z,mc_pm2_5,2.719
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T04:34:44Z,mc_pm2_5,2.719
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T04:26:49Z,mc_pm2_5,3.521
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T04:23:57Z,mc_pm2_5,3.733
East 152nd and Darwin,41.564906,-81.579597,24,0004A30B000824D7,2025-05-21T04:04:44Z,mc_pm2_5,4.324
Buckeye Rd. and East 89th St,41.486323,-81.624582,21,0004A30B00085575,2025-05-21T03:56:42Z,mc_pm2_5,3.733
